participant,group,eng_variety,spn_variety,have_ln,aoa,check_pass,check_fails,item,speaker_variety,condition,sentence_type,sentence,correct_response,response,is_correct,rt_raw,trial_n,sentence_dur,rt_adj
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_match_declarative-broad-focus_Ana-lleva-el-abrigo.wav,cuban,match,declarative-broad-focus,Ana lleva el abrigo,0,0,1,1.858,12,1.24,0.6180000000000001
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_mismatch_declarative-broad-focus_El-bebe-comia-muy-bien.wav,argentine,mismatch,declarative-broad-focus,El bebe comia muy bien,0,0,1,3.443,13,1.51,1.933
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_match_interrogative-partial-wh_Cuando-lleva-el-abrigo.wav,chilean,match,interrogative-partial-wh,Cuando lleva el abrigo,1,1,1,1.435,14,1.17,0.2650000000000001
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_mismatch_declarative-narrow-focus_Mi-madre-come-la-fruta.wav,peruvian,mismatch,declarative-narrow-focus,Mi madre come la fruta,0,0,1,1.753,15,1.63,0.123
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_mismatch_declarative-broad-focus_La-maestra-vive-en-Paris.wav,peruvian,mismatch,declarative-broad-focus,La maestra vive en Paris,0,0,1,1.862,16,1.75,0.1120000000000001
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_mismatch_interrogative-total-yn_El-hombre-mira-la-luna.wav,andalusian,mismatch,interrogative-total-yn,El hombre mira la luna,1,1,1,1.71,17,1.32,0.3899999999999999
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_mismatch_interrogative-partial-wh_Por-que-oia-el-rio.wav,puertorican,mismatch,interrogative-partial-wh,Por que oia el rio,1,1,1,1.592,18,0.99,0.6020000000000001
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_match_interrogative-partial-wh_Por-que-abre-el-regalo.wav,chilean,match,interrogative-partial-wh,Por que abre el regalo,1,1,1,4.266,19,1.28,2.9859999999999998
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_match_interrogative-partial-wh_Cuando-leia-el-libro.wav,cuban,match,interrogative-partial-wh,Cuando leia el libro,1,0,0,1.15,20,1.18,-0.030000000000000027
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_match_interrogative-total-yn_Ana-lleva-el-abrigo.wav,argentine,match,interrogative-total-yn,Ana lleva el abrigo,1,1,1,1.626,21,1.34,0.2859999999999998
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_match_interrogative-total-yn_Daniel-iba-a-Bolivia.wav,mexican,match,interrogative-total-yn,Daniel iba a Bolivia,1,1,1,4.696,22,1.33,3.3659999999999997
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_mismatch_interrogative-total-yn_Mi-tia-odia-la-lluvia.wav,argentine,mismatch,interrogative-total-yn,Mi tia odia la lluvia,1,1,1,2.306,23,1.43,0.8760000000000001
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_match_declarative-narrow-focus_Maria-bebe-el-vino.wav,argentine,match,declarative-narrow-focus,Maria bebe el vino,0,0,1,1.501,24,1.22,0.2809999999999999
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_match_interrogative-partial-wh_Por-que-hablaba-del-agua.wav,castilian,match,interrogative-partial-wh,Por que hablaba del agua,1,1,1,1.377,25,1.46,-0.08299999999999996
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_mismatch_interrogative-partial-wh_Por-que-odiaba-la-lluvia.wav,cuban,mismatch,interrogative-partial-wh,Por que odiaba la lluvia,1,1,1,1.634,26,1.38,0.254
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_mismatch_interrogative-total-yn_El-bebe-comia-muy-bien.wav,argentine,mismatch,interrogative-total-yn,El bebe comia muy bien,1,1,1,4.797,27,1.29,3.5069999999999997
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_mismatch_declarative-broad-focus_Mi-tia-odia-la-lluvia.wav,chilean,mismatch,declarative-broad-focus,Mi tia odia la lluvia,0,0,1,1.742,28,1.34,0.4019999999999999
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_mismatch_interrogative-partial-wh_Cuando-lavaba-el-plato.wav,puertorican,mismatch,interrogative-partial-wh,Cuando lavaba el plato,1,1,1,2.799,29,1.22,1.579
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_match_declarative-broad-focus_Daniel-iba-a-Bolivia.wav,peruvian,match,declarative-broad-focus,Daniel iba a Bolivia,0,0,1,2.117,30,1.44,0.677
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_mismatch_declarative-narrow-focus_La-nina-lava-el-plato.wav,chilean,mismatch,declarative-narrow-focus,La nina lava el plato,0,0,1,1.474,31,1.22,0.254
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_match_declarative-narrow-focus_Mariano-habla-del-tiempo.wav,peruvian,match,declarative-narrow-focus,Mariano habla del tiempo,0,0,1,1.858,32,1.6,0.258
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_match_declarative-broad-focus_Marta-abre-el-regalo.wav,mexican,match,declarative-broad-focus,Marta abre el regalo,0,0,1,1.256,33,1.12,0.1359999999999999
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_mismatch_interrogative-total-yn_La-nina-lava-el-plato.wav,mexican,mismatch,interrogative-total-yn,La nina lava el plato,1,1,1,1.825,34,1.25,0.575
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_mismatch_declarative-narrow-focus_Mi-novio-viene-del-lago.wav,cuban,mismatch,declarative-narrow-focus,Mi novio viene del lago,0,0,1,1.709,35,1.32,0.389
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_mismatch_declarative-broad-focus_Mi-novio-viene-del-lago.wav,chilean,mismatch,declarative-broad-focus,Mi novio viene del lago,0,0,1,1.532,36,1.44,0.09200000000000008
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_match_declarative-narrow-focus_Marta-abre-el-regalo.wav,argentine,match,declarative-narrow-focus,Marta abre el regalo,0,0,1,1.588,37,1.31,0.278
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_mismatch_interrogative-partial-wh_Cuando-comia-la-fruta.wav,mexican,mismatch,interrogative-partial-wh,Cuando comia la fruta,1,1,1,1.187,38,1.07,0.11699999999999999
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_match_interrogative-partial-wh_Por-que-iba-a-Bolivia.wav,mexican,match,interrogative-partial-wh,Por que iba a Bolivia,1,1,1,1.734,39,1.24,0.494
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_mismatch_declarative-broad-focus_La-nina-lava-el-plato.wav,puertorican,mismatch,declarative-broad-focus,La nina lava el plato,0,0,1,1.203,40,1.14,0.06300000000000017
5ad4ed6b754a0d000162329e,native,NA,Mexico,Sí,NA,NA,NA,andalusian_mismatch_interrogative-partial-wh_Por-que-vivia-en-Paris.wav,castilian,mismatch,interrogative-partial-wh,Por que vivia en Paris,1,1,1,1.659,41,1.49,0.16900000000000004
